City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.19,98,100,3.12,GS,1686167174
1,punta arenas,-53.15,-70.9167,4.06,75,20,6.69,CL,1686167174
2,axum,14.1245,38.7244,17.59,69,100,3.1,ET,1686167174
3,rio guayabal de yateras,20.3667,-75.0167,28.82,64,58,2.39,CU,1686167174
4,arkhangel'sk,64.5401,40.5433,2.69,77,4,1.52,RU,1686167091
5,edinburgh of the seven seas,-37.0676,-12.3116,15.11,83,13,12.22,SH,1686167174
6,puerto natales,-51.7236,-72.4875,4.25,75,75,5.14,CL,1686167174
7,bathsheba,13.2167,-59.5167,31.34,70,20,6.17,BB,1686167175
8,ilulissat,69.2167,-51.1,-0.99,80,75,4.12,GL,1686167175
9,talnakh,69.4865,88.3972,8.45,97,100,4.49,RU,1686167175
10,puerto ayora,-0.7393,-90.3518,29.98,89,98,4.02,EC,1686167175
11,mogoytuy,51.2833,114.9167,6.46,68,2,3.44,RU,1686167176
12,port-aux-francais,-49.35,70.2167,2.8,86,100,9.05,TF,1686167176
13,bilibino,68.0546,166.4372,11.99,42,15,1.83,RU,1686167176
14,waitangi,-43.9535,-176.5597,10.46,89,100,2.01,NZ,1686167176
15,west island,-12.1568,96.8225,25.99,78,100,10.8,CC,1686167176
16,papatowai,-46.5619,169.4708,4.45,92,57,1.88,NZ,1686167176
17,lavrio,37.7145,24.0565,25.54,69,77,3.58,GR,1686167176
18,port mathurin,-19.6833,63.4167,24.95,64,3,8.29,MU,1686167177
19,vorkuta,67.5,64.0,3.63,76,82,3.78,RU,1686167177
20,lima,-12.0432,-77.0282,24.14,65,40,5.66,PE,1686166630
21,alofi,-19.0595,-169.9187,23.94,83,100,2.57,NU,1686167177
22,ushuaia,-54.8,-68.3,4.79,75,40,2.57,AR,1686167177
23,haiku-pauwela,20.9219,-156.3051,26.01,54,20,3.09,US,1686167177
24,albany,42.6001,-73.9662,18.13,54,100,4.42,US,1686167158
25,thompson,55.7435,-97.8558,27.09,61,75,1.03,CA,1686167178
26,butterworth,5.3991,100.3638,29.02,82,20,1.54,MY,1686167178
27,olonkinbyen,70.9221,-8.7187,1.66,78,94,4.08,SJ,1686167178
28,ambalangoda,6.2355,80.0538,26.97,85,90,4.86,LK,1686167178
29,yuzhno-kurilsk,44.0306,145.8556,11.1,100,100,2.79,RU,1686167178
30,vadso,70.0744,29.7487,6.49,75,0,3.6,NO,1686167178
31,aasiaat,68.7098,-52.8699,-0.45,78,100,5.29,GL,1686167179
32,la palma,33.8464,-118.0467,23.23,66,75,4.63,US,1686167136
33,udachny,66.4167,112.4,8.03,65,95,1.47,RU,1686167179
34,veraval,20.9,70.3667,28.87,77,55,4.45,IN,1686167179
35,shalqar,47.8333,59.6,20.41,41,39,7.19,KZ,1686167179
36,dalandzadgad,43.5708,104.425,16.41,31,0,1.37,MN,1686167179
37,jamestown,42.097,-79.2353,20.29,34,75,6.17,US,1686167035
38,hilo,19.7297,-155.09,26.12,75,100,3.13,US,1686166709
39,muynoq,43.7683,59.0214,25.38,50,3,2.72,UZ,1686167180
40,longyearbyen,78.2186,15.6401,3.91,65,0,3.09,SJ,1686167108
41,hualien city,23.9769,121.6044,26.49,88,77,2.93,TW,1686167180
42,port saint john's,-31.6229,29.5448,21.96,44,0,2.82,ZA,1686167180
43,ta`u,-14.2336,-169.5144,26.8,81,95,8.09,AS,1686167180
44,fale old settlement,-9.3852,-171.2468,28.6,68,7,3.35,TK,1686167180
45,lebu,-37.6167,-73.65,14.07,66,100,4.9,CL,1686167180
46,general villegas,-35.0328,-63.0125,20.54,51,74,3.61,AR,1686166966
47,hobyo,5.3505,48.5268,27.01,81,97,11.48,SO,1686167181
48,ramon castilla,-4.2569,-69.9594,25.14,88,75,2.06,PE,1686167181
49,gaalkacyo,6.7697,47.4308,27.3,59,100,9.13,SO,1686167181
